Category	Text
sci.med	hernia a bit more than a year ago a hernia in my right groin was discovered it had produced a dull pain in that area the hernia was repaired using the least intrusive orthoscopic method and a plug and patch the doctor considered the procedure a success a few months later the same pain returned the doctor said that he could find nothing wrong in the area of the hernia repair now the pain occurs more often my gp couldn t identify any specific problem the surgen who performed the original procedure now says that yes there is a new hernia in the same area and he said that he has to cut into the area for the repair this time my question to the net is there a nonintrusive method to determine if in fact there is a hernia or if the pain is from something else steve heffner
sci.med	candida albicans what is it someone i know has recently been diagnosed as having candida albicans a disease about which i can find no information apparently it has something to do with the body s production of yeast while at the same time being highly allergic to yeast can anyone out there tell me any more about it thanks david partain davpa ida liu se ida university of link oping work phone s link oping sweden telefax
sci.med	re eye dominance in article pitt uucp geb cs pitt edu gordon banks writes in article c e g world std com rsilver world std com richard silver writes is there a right eye dominance eyedness as there is an overall right handedness in the population i mean do most people require less lens corrections for the one eye than the other if so what kinds of percentages can be attached to this there is eye dominance same as handedness and usually for the same side it has nothing to do with refractive error however i recall reading seeing that former baseball star chris chambliss hitting abilities were in part attributed to a combination of left handedness right eye dominance
sci.med	re barbecued foods and health risk in article apr clpd kodak com rich young young serum kodak com writes stuff deleted have to consume unrealistically large quantities of barbecued meat at a time i have to confess that this is one of my few unfulfilled ambitions no matter how much i eat it still seems realistic don mackie his opinion
sci.med	re quality control in medicine in article blue cis pitt edu kenneth gilbert kxgst pitt edu writes situation qa activities are a routine part of every hospital s administrative function and are required by accreditation agencies there are even entire publications devoted to qa issues indeed i spend about of my time dealing with quality stuff it is a hot number two journals worth looking at are quality review bulletin pub joint commission on accreditation of healthcare organizations one renaissance boulevard oakbrook terrace il quality in health care bmj publishing group box no b kennebunkport me don mackie his opinions um anesthesiology will disavow
sci.med	re science and methodology was homeopathy tradition i think that part of the problem is that i have proposed a definition of science that i intended to be interpreted broadly and that lee lady has interpreted fairly narrowly my definition is this science is the investigation of the empirical that avoids mistakes in reasoning and methodology discovered from previous work lee lady writes i don t think that science should be defined in a way that some of the activities that lead to really important science namely thinking and informal exploration are not recognized as scientific work unless one classifies thinking and informal exploration as a mistake they fall under my definition i hope no one would consider speculation thinking and informal exploration as unscientific in article c nasf mh news hawaii edu lady uhunix uhcc hawaii edu lee lady writes seriously i m not sure whether i misjudged you or not in one respect i still have a major problem though with your insistence that science is mainly about avoiding mistakes here is where i think we are talking at cross purposes it is not clear to me that the kind of definition i have proposed should be taken as describing what science is mainly about consider for example a definition of invertebrates as all animals lacking a backbone this fairly tells what is an invertebrate and what is not an invertebrate but it hardly tells you what invertebrates are all about one can read this definition and still not know that of all animal species are invertebrates that invertebrates possess a remarkably broad range of form that some invertebrate groups such as insects and nematodes are ubiquitous in all ecosystems etc in short knowing the definition of invertebrates does not tell one what they are mainly about the misunderstanding here is my fault i did not give sufficient context for people to understand my proposed definition okay so let s see if we agree on this first of all there are degrees of certainty it might be appropriate for instance to demand carefully controlled trials before we accept as absolute scientific truth to the extent that there is any such thing the effectiveness of a certain treatment on the other hand highly favorable clinical experience even if uncontrolled can be adequate to justify a preliminary judgement that a treatment is useful secondly it makes sense to be more tolerant in our standards of evidence for a pronounced effect than for one that is marginal i agree on both counts as an example of the second it would only take a few cases of curing rabies to convince most veterinarians that a treatment was effective despite a lack of controls as to the first i do not think it is useful to talk about absolute scientific truth i think it is more useful to talk about the kinds of evidence that various claims have and the kinds of evidence in particular fields that in the past have proven faulty or reliable the latter is obviously a matter of degree and in each field practitioners try to discover the relevance of different kinds of evidence one of the primary mistakes that marks the advocacy of an idea as psuedo science is that the advocacy lacks any sense of proportion regarding the kinds of evidence related to the proposed claim the kinds of evidence that are actually relevant to it and the historical reasons in the field that certain kinds of evidence are given more weight than others it is perfectly alright to speculate i have read quite a few refereed papers that speculated left and right but the authors were careful to identify the notions as speculative to list what little evidence was presently available for them and to describe how research could proceed to either put the notion on more firm footing or to uncover its problems often what distinguishes whether a paper of this sort passes muster is the thoughtfulness with which the author sets the context and paves the way for future work it is in this area that many proponents of speculative ideas fail the folks over in sci psychology have a hundred and one excuses not to make this simple test they claim that only an elaborate outcome study will be satisfactory a study of the sort that nlp practitioners many of whom make a barely marginal living from their practice can ill afford to do most of them are also just plain not interested because the whole idea seems frivolous and since they re not part of the scientific establishment they have no tangible rewards to gain from scientific acceptance i think a lot of scientists steer away from things that deserving or not garner a patina of kookiness when proponents of some practice see no value in more careful investigation of that practice that sets alarms ringing in many researchers minds this is unfortunate because there is undoubtedly some intersection between things that are worth investigating and things that are advocated by those who seem careless or unreasonable in their advocacy on the other hand i can understand why many scientists would just as soon select other directions for research as gordon banks has pointed out no one wants to become this generation s rhine one academic in sci psychology said that it would be completely unscientific for him to test the phobia cure since it hasn t been described in a scientific journal i think this is absurd actually at least one fairly careful academic study has been done with favorable results but it s apparently not acceptable because it s a doctoral dissertation and not published in a refereed journal i wonder why the results were not published in my field dissertation results are typically summarized in papers that are submitted to journals often the papers are accepted for publication before the dissertation is finished this certainly eases one s defense finally i hope lee lady will forgive me from commenting either on nlp or the discussion of it in sci psychology i know little about either and so have nothing to offer russell
sci.med	re too many mris in article apr kestrel edu king reasoning com dick king writes i recall reading somewhere during my youth in some science popularization book that whyle isotope changes don t normally affect chemistry a consumption of only heavy water would be fatal and that seeds watered only with heavy water do not sprout does anyone know about this i also heard this i always thought it might make a good eposide of columbo for someone to be poisoned with heavy water it wouldn t show up in any chemical test
sci.med	the reseaching of starvation i am very interested in investigations of starvation for improving health i am the young russian reseacher and have highest medical education and expierence in reseach work in biological field and would like to work on this problem can anybody send me the adresses of the hospitals or medical centers where scientific problems of human starvation for the health are investigated also i would like to set scientific contacts with colleagues who deals with investigations in this field i would be very appreciated anyone reply me pls contact by post russia moscow region puschino p o box for kravchenko n or by e mail kutuzova venus iteb serpukhov su thank you advance natalja kravchenko
sci.med	re is msg sensitivity superstition in article apr spdcc com dyer spdcc com steve dyer writes in article apr cunews carleton ca wcsbeau alfred carleton ca opirg writes there has been no hard info provided about msg making people ill that s the point after all why don t you just look it up in the merk or check out the medical dictionary cite which a doctor mentioned earlier in this thread that s because these peer reviewed studies are not addressing the effects of msg in people they re looking at animal models you can t walk away from this and start ranting about gloom and doom as if there were any documented deleterious health effects demonstrated in humans note that i wouldn t have any argument with a statement like noting that animal administration has pro duced the following blah blah we must be careful about its use in humans this is precisely not what you said among others see olney s excitotoxic food aditives relevance of animal studies to human safety neurobehav toxicol teratol vol i m sure peta would love to hear your arguments tests have been done on rhesus monkeys as well i have never seen a study where the mode of administration was intra ventricular the glu and asp were administered orally some studies used iv and sc intra ventricular is not a normal admin method for food tox studies for obvious reasons you must not have read the peer reviewed works that i referred to or you would never have come up with this brain injection bunk it most certainly is for neurotoxicology you know studies of glutamate involve more than food science whose talking about food science what is this comment supposed to mean neurotoxicology and tratology brain research nature progress in brain research all fine food science journals pardon me but where are you getting this from have you read the journals have you done a thorough literature search so point us to the studies in humans please i m familiar with the literature and i ve never seen any which relate at all to olney s work in animals and the effects of glutamate on neurons then you would know that olney himself has casually referred to chinese restaurant syndrome in a few articles why don t you point us to some studies maybe then this exchange could be productive the point is exceeding the window of course they re amino acids note that people with pku cannot tolerate any phenylalanine well actually they have to tolerate some phenylalanine it s a essential amino acid they just try to get as little as is healthy without producing dangerous levels of phenylalanine and its metabolites in the blood they re unable to metabolise it olney s research compared infant human diets specifically the amount of freely available glu in mother s milk versus commercial baby foods vs typical lunch items from the standard american diet such as packaged soup mixes he found that one could exceed the projected safety margin for infant humans by at least four fold in a single meal of processed foods mother s milk was well below the effective dose goodness i m not saying that it s good to feed infants a lot of glutamate supplemented foods it s just that this projected safety margin is a construct derived from animal models and given that you can prove anything you like we re talking prudent policy in infant nutrition here yet you re misrepresenting it as received wisdom who said anything about received wisdom there is no question that orally administered doses of msg are capable of destroying nearly all neurons in the arcuate nucleus of the hypothalamus and the median eminence these areas are responsible for the production of hormones critical to normal neuroendocrine function and the normal development of the vertabrate organism humans are vertebrates now what pray tell do you think will happen when the area of the brain necessary for the normal rhythm of gonadotropin release is missing are you trying to say that humans have no need of their pituitary anh and me of that part of the brain that is responsible for controlling the realease albeit indirectly of estradiol and testosterone how do you expect anyone to do the studies on this it s unethical to sacrifice humans to check out what effects chronic acute etc doses of these compounds are having on the brain tissue in humans the food industry knows this that s why the animal model is used in medicine and psych if you re talking about straight sensitivity it would be useful to define the term there are plenty of studies on psychoneuroimmunology showing the link between attitude and physiology i suspect we may be arguing about separate things only adult sensitivities you and late occuring sequelae of childhood ingestion and its implication for adults me certainly the doses for excitotoxicity in adults are considerably larger than for the young but the additivity of glu and asp and their copious and increased presence in modern processed foods jointly and their hidden presence in hvp necessitates extreme caution why would anyone want to eat compounds which have been shown to markedly perturb the endocrine system in adults the main point is blood levels attained and oral doses would likely have to be greater than sc between who over what i would be most interested in seeing you provide peer reviewed non food industry funded citations to articles disputing that msg has no effects whatsoever you mean asserting you re being intellectually dishonest or just plain confused because you re conflating reports which do not necessarily have anything to do with each other olney s reports would argue a potential for problems in human infants but that s not to say that this says anything whatsoever about the use of msg in most foods nor does he provide any studies in humans which indicate any deleterious effects for obvious reasons it says nothing about msg s contribtion to the phenomenon of the chinese restaurant syndrome it says nothing about the frequent inability to replicate anecdotal reports of msg sensitivity in the lab olney s work provides a putative causal mechanism for some sensitivities terry epelbaum and martin have shown that orally administered msg causes changes in normal gonadotropic hormone fluctutations in adults glu also was found to induce immediate and persistant supression of rhythmic gh secretion and to induce rapid and transient release of prolactin in adults chronically exposed to msg gh is responsible not only for control of growth during development but also converts glycogen into glucose could this be the cause of headaches i don t know dyer ursa major spdcc com hmm com why am i not surprised dianne murray wcsbeau ccs carleton ca probably one of the dumber remarks you ve made if you had read olney s review article especially the remarks i already quoted in an earlier post you would know to what i was alluding may i ask exactly for whom you do computer consulting
sci.med	re frequent nosebleeds in article apr freenet carleton ca ab freenet carleton ca robert allison writes i have between and nosebleeds each week as a result of a genetic predisposition to weak capillary walls osler weber rendu fortunately each nosebleed is of short duration does anyone know of any method to reduce this frequency my younger brothers each tried a skin transplant thigh to nose lining but their nosebleeds soon returned i ve seen a reference to an herb called rutin that is supposed to help and i d like to hear of experiences with it or other techniques my year son is so plagued lots of vaseline up his nose each night seems to keep it under control but let him get bopped there and he ll recur for days also allergies colds dry air all seem to contribute but again the vaseline or a d ointment or neosporin all seem to keep them from recurring bev zalan
sci.med	selective placebo k king reasoning com dick king writes k k rr ron roth rose com ron roth wrote k rr otoh who are we kidding the new england medical journal in k rr ran the heading ninety percent of diseases are not treatable by k rr drugs or surgery which has been echoed by several other reports k rr no wonder mds are not amused with alternative medicine since k rr the magic of the placebo effect would award alternative k rr practitioners twice the success rate of conventional medicine k k of diseases is not the same thing as of patients k k in a world with one curable disease that strikes people and nine k incurable diseases which strikes one person each medical science will cure k of the patients and report that of diseases have no therapy k k a disease would be counted among the untreatable if nothing better than k a placebo were known of course mds are ethically bound to not knowingly k dispense placebos k k dk hmmm even without the at the end i didn t think anyone was going to take the mathematics or statistics of my post seriously i only hope that you had the same thing in mind with your post otherwise you would need at least two s at the end to help anyone understand your calculations above ron rosereader p this mind intentionally left blank rosemail usenet rose media hamilton
sci.med	re barbecued foods and health risk while in grad school i remember a biochemistry friend of mine working with heat shock proteins apparently burning protein will induce changes in he dna whether these changes survive the denaturing that occurs during digestion i don t know but i never eat burnt food because of this also many woods contain toxins as they are burnt it would seem logical that some may volatilise and get into the bbqed food again i don t know if these toxins antifungal and anti woodeater compounds would survive the rather harsh conditions of the stomach and intestine and then would they be able to cross the intestinal mucosa maybe someone with more biochemical background than myself which is almost anyone can shed some light on heat shock proteins and the toxins that may be in the wood used to make charcoal and bbq anne marie rousseau e mail rousseaua immunex com what i say has nothing to do with immunex
sci.med	krillean photography i think that s the correct spelling i am looking for any information supplies that will allow do it yourselfers to take krillean pictures i m thinking that education suppliers for schools might have a appartus for sale but i don t know any of the companies any info is greatly appreciated in case you don t know krillean photography to the best of my knowledge involves taking pictures of an most of the time organic object between charged plates the picture will show energy patterns or spikes around the object photographed and depending on what type of object it is the spikes or energy patterns will vary one might extrapolate here and say that this proves that every object within the universe as we know it has its own energy signature d i s c l a i m e r i can neither confirm nor deny any opinions expressed in this article directly reflect my own personal or political views and furthermore if they did i would not be at liberty to yield such an explanation of these alleged opinions
sci.med	re food related seizures my comments about the feingold diet have no relevance to your daughter s purported frostedflakes related seizures i can t imagine why you included it steve dyer dyer ursa major spdcc com aka ima harvard rayssd linus m c spdcc dyer
sci.med	re eye dominance in article c e g world std com rsilver world std com richard silver writes is there a right eye dominance eyedness as there is an overall right handedness in the population i mean do most people require less lens corrections for the one eye than the other if so what kinds of percentages can be attached to this i have a long sighted eye and a short sighted eye my right eye tends to cut out when i look at distant things my left eye when i am close up i had specs to balance things up a bit but could do without them i thought that one way or another i would always be able to see clearly unfortunately middle age is rearing its ugly head and i can no longer see close up objects clearly maybe it s just that my arms are getting shorter the floggings will continue until morale improves pchurch swell actrix gen nz pat churchill wellington new zealand
sci.med	re adult chicken pox in article c pm o bdo feenix metronet com marcbg feenix metronet com marc grant writes all over my bod at what point am i no longer infectious my physician s office says when they are all scabbed over is this true yes is there any medications which can promote healing of the pox speed up healing acyclovir started in the first days probably speeds recovery and decreases the formation of new pox david rind rind enterprise bih harvard edu
sci.med	re is msg sensitivity superstition i have heard that epileptic patients go into seizures if they eat anything with msg added this may have something to do with the excitotoxicity of neurons fm
sci.med	re eye dominance nyeda cnsvax uwec edu david nye writes reply to rsilver world std com richard silver is there a right eye dominance eyedness as there is an overall right handedness in the population i mean do most people require less lens corrections for the one eye than the other if so what kinds of percentages can be attached to this thanks there is an eyedness analogous to handedness but it has nothing to do with refractive error to see whether you are right or left eyed roll up a sheet of paper into a tube and hold it up to either eye like a telescope the eye that you feel more comfortable putting it up to is your dominant eye refractive error is often different in the two eyes but has no correlation with handedness david nye nyeda cnsvax uwec edu midelfort clinic eau claire wi this is patently absurd but whoever wishes to become a philosopher must learn not to be frightened by absurdities bertrand russell what do you mean more comfortable putting it up to that seems a bit hard to evaluate at least for me it is stare straight point with both hands together and clasp so that only the pointer fingers are pointing straight forward to a a spot on the wall about eight feet away first stare at the spot with both eyes open now close your left eye now open your left eye now close your right eye now open your right eye if the image jumped more when you closed your right eye you are right eye dominant if the image jumped more when you closed your left eye you are left eye dominant deantha
sci.med	re is msg sensitivity superstition as nobody in the food industry has even bothered to address my previous question why do you need to put msg in almost every food i must assume that my wife s answer is closer to the truth than i hoped it was she believes that msg is added to food to cause people to eat more of it and not quit when they shoud be sated to put it a different way she believes that for some people msg causes them to act toward food like an addict eat all the chips chow down on several packages of noodle soup you get the idea if she is right then the moral and ethical standards of the food chemical and regulatory groups need to be addressed can msg be considered a conditioning substance not addictive but sort of habit forming this brings up a side question of mine i have noticed that cats my children s and my parent s seem to fixate on a particular brand of pet food the cat will eat any product within one brand and not any other brand i have wondered if this is not a case of preference but some sort of chemical training or addiction my questions for the net are does the fda regulate the contents of pet food is it allowed for pet food to contain addictive or conditioning substances is msg put in pet food i speak for myself and not motorola walter lundby
sci.med	re krillean photography in article apr unlv edu todamhyp charles unlv edu brian m huey writes i think that s the correct spelling the proper spelling is kirlian it was an effect discoverd by s kirlian a soviet film developer in as i recall the coronas visible are ascribed to static discharges and chemical reactions between the organic material and the silver halides in the films tarl neustaedter stratus computer tarl sw stratus com marlboro mass disclaimer my employer is not responsible for my opinions
sci.med	intravenous antibiotics i recently had a case of shingles and my doctors wanted to give me intravenous acyclovir it was a pain finding iv sites in my arms can i have some facts about how advantageous it is to give intravenous antibiotics rather than oral marty
sci.med	re is msg sensitivity superstition betty harvey writes i am not a researcher or a medical person but it amazes me that when they can t find a scientific or a known fact they automatically assume that the reaction is psychological it is mind boggling this simply stated is a result of the bankrupt ethics in the healthcare and scientific medicine industries america is fed up with the massive waste and fraud that is costing us of our gnp to support these industries while delivering marginal health care to the community unfortunately the clinton plan in whatever form it takes will probably cost us an even greater sum bleah steve
sci.med	re is msg sensitivity superstition in article apr sco com evanh sco com evan hunt writes in article apr iscnvx lmsc lockheed com sharen iscnvx lmsc lockheed com sharen a rund writes restaurants advertize no msg many restaurants that feature salad bars use msg to keep the veggies looking fresh longer also a number this brings up an important question for me could pre made salads the kind sold in supermarkets have msg added without mentioning it legally i mean anyone know what the law is in this area steve dyer points out that sharen was probably thinking of sulfites but the question still stands evan hunt asst editor the web for more information about the web e mail to evanh sco com
sci.med	re krillean photography i seem to recall that there was an article in radio electronics about this subject in fact i have a copy of the article in front of me but i can t find anywhere in the article a refrence as to what month it was in the system they describe uses an automobile ignition coil for the high voltage the article even includes some information on what kind of film to use and where to get it hope this helps joseph m krzeszewski ski wpi wpi edu
sci.med	re how about a crash program in basic immunological research in article ky b uucp km ky b pgh pa us ken mitchum writes as a physician i almost never get sick usually when something horrendous is going around i either don t get it at all or get a very mild case when i do get really sick it is always something unusual this was not the situation when i was in medical school particularly on pediatrics pediatrics for me was three solid months of illness and i had a temp of when i took the final exam i think what happens is that during training and beyond we are constantly exposed to new things and we have the usual reactions to them so that later on when challenged with something it is more likely a re exposure for us so we deal with it well and get a mild illness this is also commonly seen in new teachers the first few years they re sick a lot but gradually seem to build up immunities to almost everything common come to think of it i was about my healthiest when i was working in a pathogens lab exposed to who knows what all the time pre osha of course kay klier biology dept uni
sci.med	re intravenous antibiotics in article apr spectrum xerox com leisner eso mc xerox com writes i recently had a case of shingles and my doctors wanted to give me intravenous acyclovir it was a pain finding iv sites in my arms can i have some facts about how advantageous it is to give intravenous antibiotics rather than oral i think some essential information must be missing here i e you must be suffering from a condition which has caused immunosuppression there is no indication for iv acyclovir for shingles in an otherwise healthy person the oral form can help to reduce the length of symptoms and may even help prevent the development of post herpetic neuralgia but i certainly would not subject someone to iv therapy without a good reason to address your more general question iv therapy does provide higher and more consistently high plasma and tissue levels of a drug for treating a serious infection this is the only way to be sure that a patient is getting adequate drug levels kenneth gilbert university of pittsburgh general internal medicine dammit not a programmer
sci.med	re barbecued foods and health risk i don t understand the assumption that because something is found to be carcinogenic that it would not be legal in the u s i think that naturally occuring substances excluding controlled substances are pretty much unregulated in terms of their use as food food additives or other consumption it s only when the chemists concoct sp an ingredient that it falls under fda regulations otherwise if they really looked closely they would find a reason to ban almost everything how in the world do you suppose it s legal to consume tobacco products which probably should be banned no there is something called the delany amendment which makes carcinogenic food additives illegal in any amount this was passed by congress in the s before stuff like mass spectrometry became available which increased detectable levels of substances by a couple orders of magnitude this is why things like cyclamates and red were banned they are very weakly carcinogenic in huge quantities in rats so under the act they are banned this also applies to natural carcinogens some of you might remember a time back in the s when root beer suddenly stopped tasting so good and never tasted so good again that was the time when safrole was banned this is the active flavoring ingredient in sassafras leaves if it were possible to market a root beer good like the old days someone would do it in order to make money the fact that no one does it indicates that enforcement is still in effect an odd exception to the rule seems to be the product known as gumbo file this is nothing more than coarsely ground dried sassafras leaves this is not only a natural product but a natural product still in its natural form so maybe that s how they evade delany or maybe a special exemption was made to appease powerful louisiana democrats
sci.med	re is msg sensitivity superstition in article apr rtsg mot com lundby rtsg mot com walter f lundby writes as nobody in the food industry has even bothered to address my previous question why do you need to put msg in almost every food i must assume that my wife s answer is closer to the truth than i hoped it was i don t mean to be disrespectful to your concerns but it seems to me that you re getting all wound up in a non issue as many knowledgeable people have pointed out msg is a naturally occurring substance in a lot if not most foods when food manufacturers add it to a preparation they do so because it s a known flavor enhancer your wife s theory that msg is added to food to stimulate appetite may well be true but i don t believe it s always the reason it s added people are largely for the most part in charge of their own appetites children s and my parent s seem to fixate on a particular brand of pet food the cat will eat any product within one brand and not any other brand i have wondered if this is not a case of preference but some sort of chemical training or addiction my questions for the net are does the fda regulate the contents of pet food is it allowed for pet food to contain addictive or conditioning substances is msg put in pet food you don t know much about cats do you cats will take advantage of you resign yourself you will never understand a cat their tastes are whimsical i also suspect though it s been a while since i ve checked ingredients on commercial cat food that there are much more stringent requirements on pet food additives than human see the fda has this stupid idea that human beings have the intelligence to look out after their own interests barbara wondering how her cat would take care of her
sci.med	re krillean photography newsgroups m h a added followups set to most appropriate groups in apr unlv edu todamhyp charles unlv edu brian m huey writes i am looking for any information supplies that will allow do it yourselfers to take krillean pictures it s kirlian krillean pictures are portraits of tiny shrimp one might extrapolate here and say that this proves that every object within the universe as we know it has its own energy signature i think it s safe to say that anything that s not at degrees kelvin will have its own energy signature the interesting questions are what kind of energy and what it signifies i d check places like edmund scientific are they still in business or i wonder if you can find ex soviet union equipment for sale somewhere in the relcom hierarchy some expansion on kirlian photography from the credulous side stanway andrew alternative medicine a guide to natural therapies isbn new york viking penguin p p a not overly critical but still useful overview of alternative health therapies the russian engineer semyon kirlian and his wife valentina during the s using alternating currents of high frequency to illuminate their subjects they photographed them they found that if an object was a good conductor such as a metal the picture showed only its surface while the pictures of poor conductors showed the inner structure of the object even if it were optically opaque they found too that these high frequency pictures could distinguish between dead and living objects dead ones had a constant outline whilst living ones were subject to changes the object s life activity was also visible in highly variable colour patterns high frequency photography has now been practised for twenty years in the soviet union but only a few people in the west have taken it up seriously professor douglas dean in new york and professor philips at washington university in st louis have produced kirlian photographs and others have been produced in brazil austria and germany using kirlian photography it is possible to show an aura around people s fingers notably around those of healers who are concentrating on healing someone normally blue and white rays emanate from the fingers but when a subject becomes angry or excited the aura turns red and spotty the soviets are now using kirlian photography to diagnose diseases which cannot be diagnosed by any other method they argue that in most illnesses there is a preclinical stage during which the person isn t actually ill but is about to be they claim to be able to foretell a disease by photographing its preclinical phase but the most exciting phenomenon illustrated by kirlian photography is the phantom effect during high frequency photography of a leaf from which a part had been cut the photograph gave a complete picture of the leaf with the removed part showing up faintly this is extremely important because it backs up the experiences of psychics who can see the legs of amputees as if they were still there the important thing about the kirlian phantoms though is that the electromagnetic pattern can t possibly represent a secondary phenomenon or the field would vanish when the piece of leaf or leg vanished the energy grid contained in a living object must therefore be far more significant than the actual object itself kirlian photography has shown how water mentally charged by a healer has a much richer energy field around it than ordinary water from the incredulous side macrobert alan reality shopping a consumer s guide to new age hokum whole earth review autumn vnon p an excellent article providing common sense guidelines for evaluating paranormal claims and some of the author s favorite examples of hokum the crank usually works in isolation from everyone else in his field of study making grand discoveries in his basement many paranormal movements can be traced back to such people kirlian photography for instance if you pump high voltage electricity into anything it will emit glowing sparks common knowledge to electrical workers and hobbyists for a century it took a lone basement crank to declare that the sparks represent some sort of spiritual aura in fact kirlian photography was subjected to rigorous testing by physicists john o pehek harry j kyler and david l faust who reported their findings in the october issue of science their conclusion the variations observed in kirlian photographs are due solely to moisture on the surface of the body and not to mysterious auras or even necessarily to changes in mood or mental state nevertheless television shows magazines and books many by famous parapsychologists continue to promote kirlian photography as proof of the unknown peter kaminski kaminski netcom com
sci.med	what are knots what exactly are knots those sore tight spots in your muscles in certain kinds of massage people try and break up these knots it this really helpful ho leung ng ng husc harvard edu
sci.med	re barbecued foods and health risk mark mcwiggins markmc halcyon com reminds us mm also don t forget that it s better for your health mm to enjoy your steak than to resent your sprouts yes i call this notion psychological health food and in fact have determined that the four food groups are ice cream pizza barbecue and chocolate ideally every meal should contain something from at least two of these four groups food does serve functions other than nutrition and one of them is keeping the organism happy and thus aiding its immune system and i didn t spend a million bucks commissioning a study that told me to redraw my silly little pyramid in different colors and with a friendlier typeface either ref consumer reports back page one of the best things ever to turn up there rich young young serum kodak com writes of one of six impossible things ry to consume unrealistically large quantities of barbecued meat at a time donald mackie donald mackie med umich edu confesses dm i have to confess that this is one of my few unfulfilled ambitions dm no matter how much i eat it still seems realistic yeah i want to try one of those oz steaks cooked over applewood at wally s wolf lodge inn in coeur d alene that seems quite unrealistic unrealistically small and a few slabs of ribs from the east texas smoker rip again in louisville is not at all unrealistic either what say we have a rec food cooking dinner at the moonlite bar b que inn in owensboro it s all you can eat including lamb ribs mutton for about we could invite julie kangas as guest of honor and see if the moonlite s very hot sauce is too hot for her it is too hot for me and i don t say that very often and she could bring ice cream with crushed dried chiltepins for dessert and we could see if there is such a thing as an unrealistically large quantity of barbecue the owner of the moonlite estimates that the owensboro restaurants serve a hundred thousand pounds of meat a week in the summer and forty thousand in the winter in a town of or so two pounds per person per week again sure sounds unrealistic to me thats just too meager to be healthy kiran now a two pound slab of ribs a day that s realistic fuzzy pink niven s law never waste calories potato chips candy whipped cream or hot fudge sundae consumption may involve you your dietician your wardrobe and other factors but fuzzy pink s law implies don t eat soggy potato chips or cheap candy or fake whipped cream or an inferior hot fudge sundae larry niven niven s laws n space
sci.med	re frequent nosebleeds in article aa seastar seashell bebmza sru chvpkh chevron com beverly m zalan writes my year son is so plagued lots of vaseline up his nose each night seems to keep it under control but let him get bopped there and he ll recur for days also allergies colds dry air all seem to contribute but again the vaseline or a d ointment or neosporin all seem to keep them from recurring if you can get it you might want to try a canadian over the counter product called secaris which is a water soluble gel compared to vaseline or other greasy ointments secaris seems more compatible with the moisture that s already there michael a covington associate research scientist artificial intelligence programs mcovingt ai uga edu the university of georgia phone athens georgia u s a amateur radio n tmi
sci.med	re is msg sensitivity superstition frequently of late i have been reacting to something added to restaurant foods what happens is that the inside of my throat starts to feel puffy like i have a cold and also at times the inside of my mouth especially the tongue and lips also feel puffy the situations around these symptoms almost always involve restaurants usually chinese the most notable cases a cheap chinese fast food chain a japanese steak house i had the steak and another chinese fast food chain where i saw the cook put about a tablespoon or two of what looked like sugar or salt into my fried rice i am under the impression that msg enhances flavor by causing the taste buds to swell if this is correct i do not find it unreasonable to assume that high doses of msg can cause other mouth tissues to swell also as the many of the occurances including two of the above involved beef and as beef is frequently tenderized with msg this is what i suspect as being the cause i wouldn t be at all surprised if toxicity studies of msg in animals showed it as being harmless as it would be very startling to hear a lab rat or rhesus monkey complain about their throats feeling funny anyone who wishes to explain how the majority of food additives are totally harmless is welcome to e mail me with the results of any studied they know of i will probably respond to them however with a reminder of how long it took to prove that smoking causes cancer which the tobacco companies still deny dm if i sound grumpy it s because i had beef with broccoli for lunch today and now it hurts to swallow dan myers madman if the creator had intended us to walk myers usceast cs scarolina edu upright he wouldn t have given us knuckles
sci.med	origin of morphine i am sorry to once again bother those of you on this newsgroup if you have any suggestions as to where i might find out about the subject of this letter the origin of morphine ie who first isolsted it and why he she attempted such an experiment once agian any suggestion would be appreciated csh p s my instructer insists that i get rescources from this newsgroup so please send me and info you think may be helpful facts that you know but don t know what book they re from are ok attention if you do not like seeing letters such as this one on your newsgroup direct all complaints to my instructor at bshayler eis calstat edu kilimanjaro is a pretty tricky climb most of it s up until you reach the very very top and then it tends to slope away rather sharply sir george head obe jc logic the point is frozen the beast is dead what is the difference gavin millarrrrrrrrrr jc
